Date,Open,High,Low,Close,Volume
2024-12-09 00:00:00,1.05557,1.05557,1.05557,1.05557,1
2024-12-09 00:01:00,1.05557,1.05562,1.05556,1.05556,5
2024-12-09 00:02:00,1.05556,1.05556,1.05555,1.05555,2
2024-12-09 00:03:00,1.05575,1.05575,1.05534,1.05536,5
2024-12-09 00:04:00,1.05555,1.05575,1.05542,1.05543,7
2024-12-09 00:05:00,1.05544,1.0556,1.05544,1.05559,4
2024-12-09 00:06:00,1.05559,1.05559,1.05557,1.05557,2
2024-12-09 00:07:00,1.05557,1.0556,1.05557,1.0556,4
2024-12-09 00:08:00,1.05572,1.05596,1.0556,1.05596,15
2024-12-09 00:09:00,1.05596,1.05608,1.05596,1.05607,15
2024-12-09 00:10:00,1.05606,1.05606,1.05592,1.05594,11
2024-12-09 00:11:00,1.05593,1.05593,1.0559,1.05591,4
2024-12-09 00:12:00,1.05591,1.05591,1.05583,1.05583,12
2024-12-09 00:13:00,1.05583,1.05587,1.05581,1.05583,5
2024-12-09 00:14:00,1.05583,1.05593,1.05582,1.05593,8
2024-12-09 00:15:00,1.05593,1.05602,1.05579,1.05602,10
2024-12-09 00:16:00,1.05583,1.05602,1.05583,1.05597,8
2024-12-09 00:17:00,1.05597,1.05604,1.05588,1.05593,9
2024-12-09 00:18:00,1.05587,1.05601,1.05585,1.05592,9
2024-12-09 00:19:00,1.05598,1.056,1.05584,1.05585,11
2024-12-09 00:20:00,1.05594,1.05602,1.05585,1.05597,7
2024-12-09 00:21:00,1.05597,1.05601,1.05597,1.05601,3
2024-12-09 00:22:00,1.05601,1.05601,1.05601,1.05601,1
2024-12-09 00:23:00,1.05601,1.05603,1.05601,1.05601,3
2024-12-09 00:24:00,1.05601,1.05601,1.056,1.056,2
2024-12-09 00:25:00,1.056,1.05602,1.056,1.05602,2
2024-12-09 00:26:00,1.05602,1.05602,1.05602,1.05602,1
2024-12-09 00:27:00,1.05594,1.05595,1.05589,1.05589,4
2024-12-09 00:28:00,1.05589,1.05593,1.05589,1.05589,4
2024-12-09 00:29:00,1.05593,1.05593,1.05589,1.05592,4
2024-12-09 00:30:00,1.05592,1.05592,1.0558,1.05591,12
2024-12-09 00:31:00,1.05591,1.05599,1.05578,1.05599,23
2024-12-09 00:32:00,1.05592,1.056,1.05592,1.056,10
2024-12-09 00:33:00,1.05601,1.05604,1.05596,1.05596,10
2024-12-09 00:34:00,1.056,1.05606,1.05598,1.05601,10
2024-12-09 00:35:00,1.056,1.05606,1.05599,1.05603,12
2024-12-09 00:36:00,1.05603,1.05614,1.05599,1.05614,18
2024-12-09 00:37:00,1.05611,1.05611,1.05607,1.05611,10
2024-12-09 00:38:00,1.05611,1.05622,1.0561,1.05622,7
2024-12-09 00:39:00,1.05622,1.05625,1.05621,1.05625,5
2024-12-09 00:40:00,1.05617,1.05617,1.05592,1.05607,20
2024-12-09 00:41:00,1.05608,1.05608,1.05592,1.056,19
2024-12-09 00:42:00,1.056,1.05619,1.05597,1.056,19
2024-12-09 00:43:00,1.056,1.05618,1.056,1.05617,6
2024-12-09 00:44:00,1.05617,1.05617,1.0561,1.05616,7
2024-12-09 00:45:00,1.05616,1.05619,1.05614,1.05618,7
2024-12-09 00:46:00,1.05619,1.05629,1.05613,1.05628,28
2024-12-09 00:47:00,1.05626,1.05628,1.05613,1.05622,51
2024-12-09 00:48:00,1.05622,1.05627,1.05618,1.05623,6
2024-12-09 00:49:00,1.05623,1.05627,1.05618,1.05627,5
2024-12-09 00:50:00,1.05627,1.05627,1.05619,1.05627,6
2024-12-09 00:51:00,1.05627,1.05628,1.0562,1.05623,7
2024-12-09 00:52:00,1.05625,1.05625,1.05618,1.05623,6
2024-12-09 00:53:00,1.05623,1.05626,1.0562,1.05626,6
2024-12-09 00:54:00,1.05626,1.05627,1.05613,1.05627,9
2024-12-09 00:55:00,1.05626,1.05629,1.05626,1.05626,4
2024-12-09 00:56:00,1.05628,1.05628,1.05623,1.05627,4
2024-12-09 00:57:00,1.05615,1.05628,1.05615,1.05627,4
2024-12-09 00:58:00,1.05626,1.05627,1.05618,1.05618,3
2024-12-09 00:59:00,1.05628,1.05628,1.05622,1.05626,6
2024-12-09 01:00:00,1.05614,1.05674,1.05612,1.05673,61
2024-12-09 01:01:00,1.05673,1.0568,1.05673,1.05673,22
2024-12-09 01:02:00,1.05672,1.05692,1.05668,1.05692,11
2024-12-09 01:03:00,1.0569,1.05692,1.05595,1.05616,20
2024-12-09 01:04:00,1.05616,1.0565,1.05615,1.0565,11
2024-12-09 01:05:00,1.0565,1.05657,1.05647,1.05655,10
2024-12-09 01:06:00,1.05656,1.05662,1.05645,1.05646,18
2024-12-09 01:07:00,1.05646,1.05666,1.0564,1.05666,15
2024-12-09 01:08:00,1.05662,1.05668,1.05655,1.05668,13
2024-12-09 01:09:00,1.05671,1.05678,1.05666,1.05671,18
2024-12-09 01:10:00,1.05672,1.05675,1.05666,1.05667,14
2024-12-09 01:11:00,1.05667,1.05674,1.05667,1.05673,9
2024-12-09 01:12:00,1.05673,1.05674,1.05665,1.05673,13
2024-12-09 01:13:00,1.05673,1.05673,1.05664,1.0567,13
2024-12-09 01:14:00,1.05671,1.05672,1.05662,1.05672,25
2024-12-09 01:15:00,1.05668,1.0567,1.05636,1.05657,32
2024-12-09 01:16:00,1.05658,1.05658,1.0565,1.05656,16
2024-12-09 01:17:00,1.05656,1.05658,1.0565,1.05657,16
2024-12-09 01:18:00,1.0566,1.05666,1.05658,1.05658,12
2024-12-09 01:19:00,1.05658,1.0566,1.05653,1.05654,11
2024-12-09 01:20:00,1.05655,1.05655,1.05643,1.05643,8
2024-12-09 01:21:00,1.05643,1.05644,1.05632,1.05632,11
2024-12-09 01:22:00,1.05636,1.05636,1.05633,1.05633,11
2024-12-09 01:23:00,1.05632,1.0564,1.05632,1.0564,12
2024-12-09 01:24:00,1.05643,1.05643,1.05632,1.05635,20
2024-12-09 01:25:00,1.05635,1.05638,1.05634,1.05636,9
2024-12-09 01:26:00,1.05636,1.05641,1.05636,1.05638,11
2024-12-09 01:27:00,1.05638,1.05639,1.05634,1.05636,10
2024-12-09 01:28:00,1.05636,1.05637,1.05621,1.05621,13
2024-12-09 01:29:00,1.05621,1.05628,1.0562,1.05624,17
2024-12-09 01:30:00,1.0562,1.05626,1.05616,1.05619,19
2024-12-09 01:31:00,1.05621,1.05622,1.05613,1.05613,16
2024-12-09 01:32:00,1.05614,1.05617,1.05611,1.05616,7
2024-12-09 01:33:00,1.05617,1.05623,1.05617,1.05622,9
2024-12-09 01:34:00,1.05623,1.05649,1.05623,1.05645,17
2024-12-09 01:35:00,1.05645,1.05647,1.05642,1.05645,13
2024-12-09 01:36:00,1.05645,1.05653,1.05645,1.0565,9
2024-12-09 01:37:00,1.0565,1.05653,1.05647,1.05649,14
2024-12-09 01:38:00,1.05649,1.0565,1.05638,1.05638,14
2024-12-09 01:39:00,1.05638,1.05645,1.05638,1.05644,9
2024-12-09 01:40:00,1.05644,1.05645,1.05638,1.05639,14
2024-12-09 01:41:00,1.0564,1.05644,1.05639,1.05644,10
2024-12-09 01:42:00,1.05643,1.05645,1.05642,1.05644,12
2024-12-09 01:43:00,1.05643,1.05643,1.05639,1.0564,5
2024-12-09 01:44:00,1.05642,1.05642,1.05635,1.05636,10
2024-12-09 01:45:00,1.05636,1.05636,1.05628,1.05628,12
2024-12-09 01:46:00,1.05626,1.05628,1.05618,1.0562,13
2024-12-09 01:47:00,1.0562,1.05622,1.05612,1.05612,9
2024-12-09 01:48:00,1.05613,1.0567,1.05613,1.05653,22
2024-12-09 01:49:00,1.05653,1.05671,1.05653,1.05666,21
2024-12-09 01:50:00,1.05664,1.05664,1.05656,1.05656,11
2024-12-09 01:51:00,1.05656,1.05671,1.05656,1.0567,13
2024-12-09 01:52:00,1.05671,1.05672,1.05668,1.05672,8
2024-12-09 01:53:00,1.0567,1.0567,1.05666,1.05668,14
2024-12-09 01:54:00,1.05667,1.05668,1.05658,1.05659,9
2024-12-09 01:55:00,1.05659,1.05662,1.05658,1.05658,5
2024-12-09 01:56:00,1.05658,1.0566,1.05656,1.05657,10
2024-12-09 01:57:00,1.05657,1.05658,1.05645,1.05652,20
2024-12-09 01:58:00,1.05651,1.05652,1.05648,1.0565,11
2024-12-09 01:59:00,1.0565,1.05657,1.05648,1.05655,20
2024-12-09 02:00:00,1.05655,1.05657,1.05643,1.05645,37
2024-12-09 02:01:00,1.05645,1.05645,1.05625,1.05626,31
2024-12-09 02:02:00,1.05627,1.05627,1.05615,1.05616,13
2024-12-09 02:03:00,1.05614,1.05614,1.05602,1.05606,21
2024-12-09 02:04:00,1.05606,1.05606,1.05598,1.05602,18
2024-12-09 02:05:00,1.05601,1.05601,1.05592,1.05592,16
2024-12-09 02:06:00,1.05592,1.05593,1.05592,1.05592,5
2024-12-09 02:07:00,1.05593,1.05596,1.05578,1.05581,28
